"Date","Région","Plage de puissance injection","Filière de production","Nombre points injection"
"2025-10-01","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-10-01","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-09-30","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-10-01","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",19
"2025-09-30","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-10-01","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-10-01","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-30","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",626
"2025-06-30","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
"2025-06-30","OCCITANIE","P4 : ]100 - 250] kW","F5 : Solaire",4544
"2025-06-30","OCCITANIE","P6 : ]1000 - 12000] kW","F1 : Thermique non renouvelable",42
"2025-06-30","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",11
"2025-06-30","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-06-30","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",3
"2025-09-30","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-06-30","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",82155
"2025-09-30","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-09-30","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",10
"2025-09-30","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",74
"2025-09-30","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",5086
"2025-09-30","OCCITANIE","P4 : ]100 - 250] kW","F1 : Thermique non renouvelable",2
"2025-09-30","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-09-30","OCCITANIE","P7 : > 12000 kW","F1 : Thermique non renouvelable",0
"2025-06-30","OCCITANIE","P4 : ]100 - 250] kW","F3 : Hydraulique",133
"2025-06-30","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",13
"2025-06-29","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",50
"2025-06-29","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",12
"2025-06-29","OCCITANIE","P4 : ]100 - 250] kW","F4 : Eolien",0
"2025-06-29","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-06-29","OCCITANIE","P2 : ]3 - 9] kW","F4 : Eolien",11
"2025-06-29","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",1
"2025-06-29","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
